cluster,visit_count,center_lat,center_lon,visit_frequency_norm,model_probability,route_probability,recency_norm,distance_km_from_last_known,proximity_score,search_priority_score,search_rank
0,5330,28.620382206169477,77.21271233995623,1.0,0.0,0.0,0.5,1.215657425556826,1.0,0.525,1
2,205,28.625125427635314,77.1948658561697,0.0,0.0,0.0,0.5,2.3045281102156494,0.16626715243490242,0.09162671524349024,2
1,243,28.610402444744352,77.22988398617281,0.007414634146341463,0.0,0.0,0.5,2.5216761194812065,0.0,0.07759512195121951,3
